category,date,name,source,website
Unlicensed entities,2003-06-25,Ametron Consultants Ltd,sfc,www.amterontrader.com
Unlicensed entities,2003-06-25,Tradeline Group,sfc,www.tradelinegroup.com
Unlicensed entities,,Mercantile Capital Management Ltd,sfc,
Unlicensed entities,,Sterling Futures Ltd,sfc,
Unlicensed entities,,Sterling Futures Management Limited,sfc,
Unlicensed entities,,SteinMorgan International Ltd,sfc,
Unlicensed entities,,Pan Pacific Financial (HK) Limited,sfc,
Unlicensed entities,,Pan Pacific Financial Inc,sfc,
Unlicensed entities,,Caledrane Group Inc,sfc,
Unlicensed entities,,Banquedenationale Bank,sfc,
Unlicensed entities,,Transglobe Express Co,sfc,
Unlicensed entities,,Transglobe Group,sfc,
Unlicensed entities,,Drexel Asset Management,sfc,
Unlicensed entities,,Swiss Corps Inc,sfc,
Unlicensed entities,,Global Banking Corp,sfc,
Unlicensed entities,,Eurocentral Union,sfc,
Unlicensed entities,,Citi Express Banks Inc,sfc,
Unlicensed entities,,Origin Merchant Bank,sfc,
Unlicensed entities,,Maxuel Golding Associated Incorporated,sfc,
Unlicensed entities,,Kato Consultants Inc,sfc,
Unlicensed entities,2003-10-06,xinnic.com,sfc,www.xinnic.com
Unlicensed entities,,Merit Prime Capital,sfc,
Unlicensed entities,,De Verre Lloyd & Co Ltd,sfc,
Unlicensed entities,2003-10-29,Emmerson Bennett,sfc,www.emmersonbennett.net
Unlicensed entities,,Key Profit International Limited,sfc,
Unlicensed entities,,"Blaine & Thompson, S.A.",sfc,
Suspicious websites,2003-10-31,Pacific Asian Bank,sfc,www.pabbank.com
Unlicensed entities,,"Kennedy Investments, Ltd",sfc,
Unlicensed entities,,MartinMoss and Garcia,sfc,
Unlicensed entities,,Alliance and Dunbar,sfc,
Unlicensed entities,,Kerona Trading,sfc,
Unlicensed entities,,Ameri-Tech Industries Ltd,sfc,
Unlicensed entities,,Asian Investment Foundation Ltd,sfc,
Unlicensed entities,2003-11-27,Bernard Simpson Consultants,sfc,www.bernardsimpson.net
Unlicensed entities,,Oasis Capital Inc,sfc,
Suspicious websites,2003-12-16,"BOC Mutual Fund Management Co., Ltd",sfc,www.bocfund.com
Unlicensed entities,,Dynasty International Acquisitions,sfc,
Suspicious websites,2004-01-13,Bank of Swisscredit,sfc,www.swisscreditbank.com
Unlicensed entities,,Bernard Rothschild Consultants,sfc,
Unlicensed entities,,Thompson & Whitehurst,sfc,
Unlicensed entities,,Marcus Goodman & Phillips Consultants,sfc,
Unlicensed entities,,Rementon & Fitzgerald,sfc,
Unlicensed entities,,Professional Capital Management Pte Ltd,sfc,www.procapman.com
Unlicensed entities,,Hamilton Frasier Group,sfc,
Unlicensed entities,,Global Capital Management,sfc,
Unlicensed entities,,European Private Equity Consultants,sfc,
Suspicious websites,,www.wsgroups.com/indexs.htm,sfc,
Unlicensed entities,,Commonwealth Monetary Group,sfc,
Unlicensed entities,,Mason McHale Portfolio Management (Limited),sfc,www.masonmchale.com
Unlicensed entities,2004-03-15,Baker and White,sfc,www.bakerwhite.com
Unlicensed entities,2004-03-15,Capital Futures Limited,sfc,www.capitalserviceshk.com
Suspicious websites,,www.jfunds.com,sfc,
Unlicensed entities,,Kobe Securities International,sfc,
Unlicensed entities,,Innovative Consulting Inc,sfc,
Unlicensed entities,,Douglas Baker & Co,sfc,
Unlicensed entities,,Providence Group,sfc,
Unlicensed entities,2004-03-15,Whitman Pearce and Partners,sfc,www.whitmanpearce.com
Unlicensed entities,,Stuartt Reed Kammer,sfc,
Unlicensed entities,,"Wallace and Hampton, Inc.",sfc,
Suspicious websites,,GCI Bank Corp,sfc,www.bankgci.com
Unlicensed entities,2004-04-02,Global Financial Standards Union,sfc,www.gfsu.org
Suspicious websites,,Herise Invest Limited,sfc,
Suspicious websites,,Citiexpress Finance & Security Co Ltd,sfc,www.citi-express.net
Unlicensed entities,,Procap Management,sfc,
Suspicious websites,,www.baoyuans.com,sfc,
Unlicensed entities,,"Global One Foundation, Inc",sfc,
Unlicensed entities,,Reymount Investments Limited,sfc,
Unlicensed entities,,Commonwealth Capital Corporation Limited,sfc,
Suspicious websites,,www.daifook.com,sfc,
Phishes,,Citibank Online!,sfc,
Unlicensed entities,,Uniline International Investment Consultant Limited,sfc,
Unlicensed entities,2004-05-25,Capital Asset Management Ltd,sfc,www.assetmanagementhk.com
Unlicensed entities,,Parkdale Trading (1986) Limited,sfc,
Unlicensed entities,,Farber Pakenham and Associates,sfc,
Unlicensed entities,,Advance Management Services (Asia) Limited,sfc,
Suspicious websites,,HongKong UBC Investment Funds Limited,sfc,www.hkcapital.org
Unlicensed entities,,First Federal Banking Corporation,sfc,
Unlicensed entities,,Mc Kenzie King,sfc,
Unlicensed entities,,Oxford Trading (1978) Limited,sfc,
Unlicensed entities,2004-06-30,Premium Alliance,sfc,www.premiumalliancegroup.net
Unlicensed entities,,Rosenthal International,sfc,
Unlicensed entities,,R J MacAllistor Ltd,sfc,
Unlicensed entities,,Quincy Ellerton,sfc,
Suspicious websites,2004-07-14,Paramount Bank,sfc,www.paramountbank.net
Unlicensed entities,2004-07-28,International Options Management,sfc,www.interopman.com
Unlicensed entities,2004-07-28,Bradley Chen & Associates,sfc,www.bradleychen.com
Suspicious websites,2004-07-28,Irvine North Credit Union,sfc,www.irvinenorthcredit.com
Unlicensed entities,,JPM Investments International,sfc,
Unlicensed entities,,Richardson Resources,sfc,www.richardsonresources.com
