name,website,category,date,source
Pan Pacific Financial Inc,,Unlicensed entities,,sfc
Caledrane Group Inc,,Unlicensed entities,,sfc
Transglobe Express Co,,Unlicensed entities,,sfc
Transglobe Group,,Unlicensed entities,,sfc
Pan Pacific Financial (HK) Limited,,Unlicensed entities,,sfc
Tradeline Group,www.tradelinegroup.com,Unlicensed entities,2003-06-25,sfc
Drexel Asset Management,,Unlicensed entities,,sfc
Swiss Corps Inc,,Unlicensed entities,,sfc
Global Banking Corp,,Unlicensed entities,,sfc
Origin Merchant Bank,,Unlicensed entities,,sfc
Zurich Investment Group Ltd,,Unlicensed entities,,sfc
Eurocentral Union,,Unlicensed entities,,sfc
Godwynn International,,Unlicensed entities,,sfc
Maxuel Golding Associated Incorporated,,Unlicensed entities,,sfc
Kato Consultants Inc,,Unlicensed entities,,sfc
Citi Express Banks Inc,,Unlicensed entities,,sfc
De Verre Lloyd & Co Ltd,,Unlicensed entities,,sfc
"Blaine & Thompson, S.A.",,Unlicensed entities,,sfc
Banquedenationale Bank,,Unlicensed entities,,sfc
Ametron Consultants Ltd,www.amterontrader.com,Unlicensed entities,2003-06-25,sfc
Pacific Asian Bank,www.pabbank.com,Suspicious websites,2003-10-31,sfc
Merit Prime Capital,,Unlicensed entities,,sfc
"Kennedy Investments, Ltd",,Unlicensed entities,,sfc
Kerona Trading,,Unlicensed entities,,sfc
Alliance and Dunbar,,Unlicensed entities,,sfc
xinnic.com,www.xinnic.com,Unlicensed entities,2003-10-06,sfc
Key Profit International Limited,,Unlicensed entities,,sfc
Asian Investment Foundation Ltd,,Unlicensed entities,,sfc
Oasis Capital Inc,,Unlicensed entities,,sfc
"BOC Mutual Fund Management Co., Ltd",www.bocfund.com,Suspicious websites,2003-12-16,sfc
Bank of Swisscredit,www.swisscreditbank.com,Suspicious websites,2004-01-13,sfc
Thompson & Whitehurst,,Unlicensed entities,,sfc
Marcus Goodman & Phillips Consultants,,Unlicensed entities,,sfc
MartinMoss and Garcia,,Unlicensed entities,,sfc
Bernard Simpson Consultants,www.bernardsimpson.net,Unlicensed entities,2003-11-27,sfc
Rementon & Fitzgerald,,Unlicensed entities,,sfc
Professional Capital Management Pte Ltd,www.procapman.com,Unlicensed entities,,sfc
Hamilton Frasier Group,,Unlicensed entities,,sfc
Global Capital Management,,Unlicensed entities,,sfc
www.wsgroups.com/indexs.htm,,Suspicious websites,,sfc
Commonwealth Monetary Group,,Unlicensed entities,,sfc
Emmerson Bennett,www.emmersonbennett.net,Unlicensed entities,2003-10-29,sfc
Baker and White,www.bakerwhite.com,Unlicensed entities,2004-03-15,sfc
www.jfunds.com,,Suspicious websites,,sfc
Dynasty International Acquisitions,,Unlicensed entities,,sfc
Ameri-Tech Industries Ltd,,Unlicensed entities,,sfc
European Private Equity Consultants,,Unlicensed entities,,sfc
Capital Futures Limited,www.capitalserviceshk.com,Unlicensed entities,2004-03-15,sfc
Kobe Securities International,,Unlicensed entities,,sfc
Innovative Consulting Inc,,Unlicensed entities,,sfc
Mason McHale Portfolio Management (Limited),www.masonmchale.com,Unlicensed entities,,sfc
Providence Group,,Unlicensed entities,,sfc
Stuartt Reed Kammer,,Unlicensed entities,,sfc
Bernard Rothschild Consultants,,Unlicensed entities,,sfc
"Wallace and Hampton, Inc.",,Unlicensed entities,,sfc
Douglas Baker & Co,,Unlicensed entities,,sfc
GCI Bank Corp,www.bankgci.com,Suspicious websites,,sfc
Global Financial Standards Union,www.gfsu.org,Unlicensed entities,2004-04-02,sfc
Citiexpress Finance & Security Co Ltd,www.citi-express.net,Suspicious websites,,sfc
Herise Invest Limited,,Suspicious websites,,sfc
www.baoyuans.com,,Suspicious websites,,sfc
"Global One Foundation, Inc",,Unlicensed entities,,sfc
Commonwealth Capital Corporation Limited,,Unlicensed entities,,sfc
Citibank Online!,,Phishes,,sfc
Capital Asset Management Ltd,www.assetmanagementhk.com,Unlicensed entities,2004-05-25,sfc
Parkdale Trading (1986) Limited,,Unlicensed entities,,sfc
www.daifook.com,,Suspicious websites,,sfc
Procap Management,,Unlicensed entities,,sfc
Uniline International Investment Consultant Limited,,Unlicensed entities,,sfc
Reymount Investments Limited,,Unlicensed entities,,sfc
First Federal Banking Corporation,,Unlicensed entities,,sfc
Oxford Trading (1978) Limited,,Unlicensed entities,,sfc
Advance Management Services (Asia) Limited,,Unlicensed entities,,sfc
HongKong UBC Investment Funds Limited,www.hkcapital.org,Suspicious websites,,sfc
Quincy Ellerton,,Unlicensed entities,,sfc
R J MacAllistor Ltd,,Unlicensed entities,,sfc
Paramount Bank,www.paramountbank.net,Suspicious websites,2004-07-14,sfc
Bradley Chen & Associates,www.bradleychen.com,Unlicensed entities,2004-07-28,sfc
Irvine North Credit Union,www.irvinenorthcredit.com,Suspicious websites,2004-07-28,sfc
Rosenthal International,,Unlicensed entities,,sfc
JPM Investments International,,Unlicensed entities,,sfc
Richardson Resources,www.richardsonresources.com,Unlicensed entities,,sfc
Whitman Pearce and Partners,www.whitmanpearce.com,Unlicensed entities,2004-03-15,sfc
Citibank Online,,Phishes,,sfc
International Options Management,www.interopman.com,Unlicensed entities,2004-07-28,sfc
Glebe Investment Holdings,,Unlicensed entities,,sfc
"DKM Global Management, Inc",,Unlicensed entities,,sfc
Breakthrough Incorporated,,Unlicensed entities,,sfc
Mc Kenzie King,,Unlicensed entities,,sfc
zqgroups.com,www.zqgroups.com,Unlicensed entities,2004-08-25,sfc
McBain Baxter Holdings Limited,www.mcbainbaxter.net,Unlicensed entities,2004-09-01,sfc
Citibank's Citi Identity Theft Solutions,,Phishes,,sfc
General Mercantile Advisors Ltd,www.gmercadvisors.com,Unlicensed entities,2004-08-18,sfc
Warren Futures Limited,,Unlicensed entities,,sfc
Smart Port Asset Management,www.smartport.cn,Unlicensed entities,,sfc
Premium Alliance,www.premiumalliancegroup.net,Unlicensed entities,2004-06-30,sfc
Emerald Worldwide Holdings Inc.,,Unlicensed entities,,sfc
Axa St John,,Unlicensed entities,,sfc
Steel Mercantile Portfolio,,Unlicensed entities,,sfc
Solitaire Management Services Ltd,www.glbasia.com,Unlicensed entities,2004-10-13,sfc
D M Gray Consulting,www.dmgrayconsulting.com,Unlicensed entities,,sfc
Mckenzie Goldstein & Associates,www.mckenzie-goldstein.com,Unlicensed entities,2004-10-19,sfc
Farber Pakenham and Associates,,Unlicensed entities,,sfc
Global Mercantile Advisors Ltd,www.gmercadvisors.com,Unlicensed entities,2004-08-13,sfc
The Williams Group,www.williamsoffshore.com,Unlicensed entities,2004-11-10,sfc
Maxi-Trade Company,www.maxi-trade.com,Unlicensed entities,,sfc
Easystar Securities Limited,www.etradex.com.hk,Unlicensed entities,,sfc
Worldcorp Intertrade Limited,www.world.cit.com,Unlicensed entities,,sfc
Baros Corporation,www.Baroscorporation.com,Unlicensed entities,,sfc
Easystar Forex Investment Limited,www.etradex.com.hk,Unlicensed entities,,sfc
SunTrust Bank,,Phishes,,sfc
Standard Capital Intermational Coroperation Ltd,www.stdcap.com,Suspicious websites,2004-11-24,sfc
SpartaMatrix,,Unlicensed entities,,sfc
Bao Tai Commercial Bank,www.hkbaotai.com,Suspicious websites,,sfc
Asia Yard Investments Ltd,,Unlicensed entities,,sfc
Washington Mutual Bank,,Phishes,,sfc
Lloyds and Barclays Inc.,,Unlicensed entities,,sfc
Easystar Int'l Holdings Limited,www.etradex.com.hk,Unlicensed entities,,sfc
The Manhattan Pacific Group,www.manhattanpacificgroup.com,Unlicensed entities,2004-12-08,sfc
International Options Trading Limited Pty,,Unlicensed entities,,sfc
Vannex Corporation,,Unlicensed entities,,sfc
Global Options Group,www.globaloptions.org,Unlicensed entities,2004-12-15,sfc
Goldmill Wagner Associates,www.goldmillwagner.com,Unlicensed entities,2004-12-08,sfc
Mission Finance Limited,,Unlicensed entities,,sfc
Hantec Group Asset Management Limited,,Unlicensed entities,,sfc
Smith Barney,,Phishes,,sfc
UBHK Securities Company Limited,http://unionbankhk.com,Suspicious websites,,sfc
Union Bank of China,http://unionbankhk.com,Suspicious websites,,sfc
World Trade Assets Institute,www.wtami.com,Unlicensed entities,,sfc
Goldmany (Hong Kong),www.goldmany.com,Unlicensed entities,,sfc
Capital Management Group,www.capmangroup.com,Unlicensed entities,,sfc
Yamato & Associates,www.yamatoandassociates.com,Unlicensed entities,,sfc
World Trade Assets Market Inc.,www.wtami.com,Unlicensed entities,,sfc
Warner Beck Incorporated,www.warnerbeck.com,Unlicensed entities,2005-02-16,sfc
SMI Limited (BVI),www.smiequity.com,Unlicensed entities,2005-02-22,sfc
Benson & Raymond Acquisitions Inc.,www.bensonandraymond.com,Unlicensed entities,,sfc
Porter Ventures,www.portvent.com,Unlicensed entities,,sfc
Euro Yen Usd,www.euroyenusd.com,Suspicious websites,,sfc
Regions Bank,,Phishes,,sfc
Youngson International Holding,www.youngsonholdings.com,Unlicensed entities,2005-03-16,sfc
Harrison Lee Partners,www.harrisonlee.com,Unlicensed entities,,sfc
World Trade Assets Association,www.wtami.com,Unlicensed entities,,sfc
www.orcb.net,,Suspicious websites,,sfc
Youngson International Holdings Limited,www.youngsonholdings.com,Unlicensed entities,2005-03-16,sfc
Asia Pacific Holdings Ltd,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
Asia Pacific Fund Managers Ltd,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
Asia Pacific Asset Management Ltd,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
WeNew.net,,Unlicensed entities,,sfc
Continental Allied Incorporated,www.continentalallied.com,Unlicensed entities,2005-04-06,sfc
Asia Pacific Investment Management Ltd,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
Charter One Bank,,Phishes,,sfc
International Public Shareholders Protection Services,www.intfraud.org,Unlicensed entities,,sfc
First Colonial Management,,Unlicensed entities,,sfc
Orion Ventures Limited,www.smithkleinonline.com,Unlicensed entities,2005-04-27,sfc
Parlement Associates Inc.,www.parlementinc.com,Unlicensed entities,,sfc
Asia Pacific Group Investment Inc,www.asiapacific-group.com,Unlicensed entities,2005-04-12,sfc
Sinowest International Corp. Ltd.,,Unlicensed entities,,sfc
SouthTrust Bank,,Phishes,,sfc
Crown Choice International Limited,,Unlicensed entities,,sfc
Trimark World Capital Corp.,,Unlicensed entities,,sfc
American International Securities Inc.,,Unlicensed entities,,sfc
Crown Sense Ltd.,,Unlicensed entities,,sfc
Options International Ltd.,,Unlicensed entities,,sfc
Iontrack Limited,,Unlicensed entities,,sfc
